tract_fips,population,lat,lon,California County,nearest_station_km,access_all_5km,access_nevi_5km,gini_all_5km,gini_nevi_5km,access_all_5km_pct,access_nevi_5km_pct
6037190401,2977,34.1035718,-118.3027866,Los Angeles,0.363030309,0.04190389,0,0.998590936,0.999997162,0.98943662,0.328638498
6037190510,4051,34.0999771,-118.3113901,Los Angeles,0.103101238,0.021685861,0.000237106,0.998590936,0.999997162,0.985915493,0.973591549
6037190520,3979,34.0999328,-118.3038048,Los Angeles,0.216311205,0.015426927,0.000248976,0.998590936,0.999997162,0.980046948,0.980046948
6037190700,2685,34.0986626,-118.3336722,Los Angeles,0.032095315,0.001111788,2.94E-05,0.998590936,0.999997162,0.300469484,0.843896714
6037190801,2682,34.0943767,-118.3244586,Los Angeles,0.281172749,0.001212319,2.94E-05,0.998590936,0.999997162,0.332159624,0.843896714
6037190802,2982,34.0943604,-118.3299158,Los Angeles,0.05562963,0.001568122,2.94E-05,0.998590936,0.999997162,0.427230047,0.843896714
6037190901,4587,34.0944222,-118.3124771,Los Angeles,0.18286629,0.001529978,1.75E-05,0.998590936,0.999997162,0.416666667,0.763497653
6037190902,3518,34.094395,-118.319013,Los Angeles,0.286971506,0.00269621,1.75E-05,0.998590936,0.999997162,0.646713615,0.763497653
6037191000,4454,34.1009548,-118.321677,Los Angeles,0.282410121,0.004041703,1.75E-05,0.998590936,0.999997162,0.787558685,0.763497653
6037191110,3478,34.0965841,-118.3049408,Los Angeles,0.28820399,0.006443002,0,0.998590936,0.999997162,0.900234742,0.328638498
6037191120,3900,34.0929287,-118.304794,Los Angeles,0.211484753,0.010118898,0,0.998590936,0.999997162,0.961267606,0.328638498
6037191201,4414,34.0985767,-118.2961735,Los Angeles,0.257867956,0.008816067,0,0.998590936,0.999997162,0.944835681,0.328638498
6037191203,2383,34.0931674,-118.2939076,Los Angeles,0.227411998,0.006299915,0,0.998590936,0.999997162,0.893192488,0.328638498
